donor_country,financial_year,total_fc_inr,total_fc_original,original_unit,source_document,source_url,table_ref,retrieved_date,notes
Singapore,2016-17,853508976.39,"85,35,08,976.39",rupee,"Rajya Sabha Starred Question No. 304, 'Foreign Funds Received by NGOs', answered 24.03.2021 (MoS Home, Shri Nityanand Rai)",https://www.scribd.com/document/500156210/Foreign-Contribution-List-MHA,"Annexure-II: Country of Donors Foreign Contribution (in Rupees), Year: 2016-17",2026-09-23,"Excludes donor details < Rs 20,000 per Form FC-4. Scribd copy of the official annexure. Annexure-I: state-wise FC received in Rupees. Annexure-II: donor-country-wise FC in Rupees (excludes donor details < Rs 20,000 per FC-4). 2019-20 tables are PARTIAL: ARs filed as on 16.03.2021; filing deadline extended to 30.06.2021."
Kuwait,2016-17,733640123.84,"73,36,40,123.84",rupee,"Rajya Sabha Starred Question No. 304, 'Foreign Funds Received by NGOs', answered 24.03.2021 (MoS Home, Shri Nityanand Rai)",https://www.scribd.com/document/500156210/Foreign-Contribution-List-MHA,"Annexure-II: Country of Donors Foreign Contribution (in Rupees), Year: 2016-17",2026-09-23,"Excludes donor details < Rs 20,000 per Form FC-4. Scribd copy of the official annexure. Annexure-I: state-wise FC received in Rupees. Annexure-II: donor-country-wise FC in Rupees (excludes donor details < Rs 20,000 per FC-4). 2019-20 tables are PARTIAL: ARs filed as on 16.03.2021; filing deadline extended to 30.06.2021."
Norway,2016-17,617523002.35,"61,75,23,002.35",rupee,"Rajya Sabha Starred Question No. 304, 'Foreign Funds Received by NGOs', answered 24.03.2021 (MoS Home, Shri Nityanand Rai)",https://www.scribd.com/document/500156210/Foreign-Contribution-List-MHA,"Annexure-II: Country of Donors Foreign Contribution (in Rupees), Year: 2016-17",2026-09-23,"Excludes donor details < Rs 20,000 per Form FC-4. Scribd copy of the official annexure. Annexure-I: state-wise FC received in Rupees. Annexure-II: donor-country-wise FC in Rupees (excludes donor details < Rs 20,000 per FC-4). 2019-20 tables are PARTIAL: ARs filed as on 16.03.2021; filing deadline extended to 30.06.2021."
Japan,2016-17,546170240.58,"54,61,70,240.58",rupee,"Rajya Sabha Starred Question No. 304, 'Foreign Funds Received by NGOs', answered 24.03.2021 (MoS Home, Shri Nityanand Rai)",https://www.scribd.com/document/500156210/Foreign-Contribution-List-MHA,"Annexure-II: Country of Donors Foreign Contribution (in Rupees), Year: 2016-17",2026-09-23,"Excludes donor details < Rs 20,000 per Form FC-4. Scribd copy of the official annexure. Annexure-I: state-wise FC received in Rupees. Annexure-II: donor-country-wise FC in Rupees (excludes donor details < Rs 20,000 per FC-4). 2019-20 tables are PARTIAL: ARs filed as on 16.03.2021; filing deadline extended to 30.06.2021."
Liechtenstein,2016-17,484940552.64,"48,49,40,552.64",rupee,"Rajya Sabha Starred Question No. 304, 'Foreign Funds Received by NGOs', answered 24.03.2021 (MoS Home, Shri Nityanand Rai)",https://www.scribd.com/document/500156210/Foreign-Contribution-List-MHA,"Annexure-II: Country of Donors Foreign Contribution (in Rupees), Year: 2016-17",2026-09-23,"Excludes donor details < Rs 20,000 per Form FC-4. Scribd copy of the official annexure. Annexure-I: state-wise FC received in Rupees. Annexure-II: donor-country-wise FC in Rupees (excludes donor details < Rs 20,000 per FC-4). 2019-20 tables are PARTIAL: ARs filed as on 16.03.2021; filing deadline extended to 30.06.2021."
Ireland,2016-17,453881941.27,"45,38,81,941.27",rupee,"Rajya Sabha Starred Question No. 304, 'Foreign Funds Received by NGOs', answered 24.03.2021 (MoS Home, Shri Nityanand Rai)",https://www.scribd.com/document/500156210/Foreign-Contribution-List-MHA,"Annexure-II: Country of Donors Foreign Contribution (in Rupees), Year: 2016-17",2026-09-23,"Excludes donor details < Rs 20,000 per Form FC-4. Scribd copy of the official annexure. Annexure-I: state-wise FC received in Rupees. Annexure-II: donor-country-wise FC in Rupees (excludes donor details < Rs 20,000 per FC-4). 2019-20 tables are PARTIAL: ARs filed as on 16.03.2021; filing deadline extended to 30.06.2021."
Qatar,2016-17,433855158.49,"43,38,55,158.49",rupee,"Rajya Sabha Starred Question No. 304, 'Foreign Funds Received by NGOs', answered 24.03.2021 (MoS Home, Shri Nityanand Rai)",https://www.scribd.com/document/500156210/Foreign-Contribution-List-MHA,"Annexure-II: Country of Donors Foreign Contribution (in Rupees), Year: 2016-17",2026-09-23,"Excludes donor details < Rs 20,000 per Form FC-4. Scribd copy of the official annexure. Annexure-I: state-wise FC received in Rupees. Annexure-II: donor-country-wise FC in Rupees (excludes donor details < Rs 20,000 per FC-4). 2019-20 tables are PARTIAL: ARs filed as on 16.03.2021; filing deadline extended to 30.06.2021."
New Zealand,2016-17,391301106.09,"39,13,01,106.09",rupee,"Rajya Sabha Starred Question No. 304, 'Foreign Funds Received by NGOs', answered 24.03.2021 (MoS Home, Shri Nityanand Rai)",https://www.scribd.com/document/500156210/Foreign-Contribution-List-MHA,"Annexure-II: Country of Donors Foreign Contribution (in Rupees), Year: 2016-17",2026-09-23,"Excludes donor details < Rs 20,000 per Form FC-4. Scribd copy of the official annexure. Annexure-I: state-wise FC received in Rupees. Annexure-II: donor-country-wise FC in Rupees (excludes donor details < Rs 20,000 per FC-4). 2019-20 tables are PARTIAL: ARs filed as on 16.03.2021; filing deadline extended to 30.06.2021."
Denmark,2016-17,375584264.65,"37,55,84,264.65",rupee,"Rajya Sabha Starred Question No. 304, 'Foreign Funds Received by NGOs', answered 24.03.2021 (MoS Home, Shri Nityanand Rai)",https://www.scribd.com/document/500156210/Foreign-Contribution-List-MHA,"Annexure-II: Country of Donors Foreign Contribution (in Rupees), Year: 2016-17",2026-09-23,"Excludes donor details < Rs 20,000 per Form FC-4. Scribd copy of the official annexure. Annexure-I: state-wise FC received in Rupees. Annexure-II: donor-country-wise FC in Rupees (excludes donor details < Rs 20,000 per FC-4). 2019-20 tables are PARTIAL: ARs filed as on 16.03.2021; filing deadline extended to 30.06.2021."
Philippines,2016-17,293983817.76,"29,39,83,817.76",rupee,"Rajya Sabha Starred Question No. 304, 'Foreign Funds Received by NGOs', answered 24.03.2021 (MoS Home, Shri Nityanand Rai)",https://www.scribd.com/document/500156210/Foreign-Contribution-List-MHA,"Annexure-II: Country of Donors Foreign Contribution (in Rupees), Year: 2016-17",2026-09-23,"Excludes donor details < Rs 20,000 per Form FC-4. Scribd copy of the official annexure. Annexure-I: state-wise FC received in Rupees. Annexure-II: donor-country-wise FC in Rupees (excludes donor details < Rs 20,000 per FC-4). 2019-20 tables are PARTIAL: ARs filed as on 16.03.2021; filing deadline extended to 30.06.2021."
South Korea,2016-17,287675183.55,"28,76,75,183.55",rupee,"Rajya Sabha Starred Question No. 304, 'Foreign Funds Received by NGOs', answered 24.03.2021 (MoS Home, Shri Nityanand Rai)",https://www.scribd.com/document/500156210/Foreign-Contribution-List-MHA,"Annexure-II: Country of Donors Foreign Contribution (in Rupees), Year: 2016-17",2026-09-23,"Excludes donor details < Rs 20,000 per Form FC-4. Scribd copy of the official annexure. Annexure-I: state-wise FC received in Rupees. Annexure-II: donor-country-wise FC in Rupees (excludes donor details < Rs 20,000 per FC-4). 2019-20 tables are PARTIAL: ARs filed as on 16.03.2021; filing deadline extended to 30.06.2021."
Taiwan,2016-17,274762679.73,"27,47,62,679.73",rupee,"Rajya Sabha Starred Question No. 304, 'Foreign Funds Received by NGOs', answered 24.03.2021 (MoS Home, Shri Nityanand Rai)",https://www.scribd.com/document/500156210/Foreign-Contribution-List-MHA,"Annexure-II: Country of Donors Foreign Contribution (in Rupees), Year: 2016-17",2026-09-23,"Excludes donor details < Rs 20,000 per Form FC-4. Scribd copy of the official annexure. Annexure-I: state-wise FC received in Rupees. Annexure-II: donor-country-wise FC in Rupees (excludes donor details < Rs 20,000 per FC-4). 2019-20 tables are PARTIAL: ARs filed as on 16.03.2021; filing deadline extended to 30.06.2021."
Finland,2016-17,248720343.37,"24,87,20,343.37",rupee,"Rajya Sabha Starred Question No. 304, 'Foreign Funds Received by NGOs', answered 24.03.2021 (MoS Home, Shri Nityanand Rai)",https://www.scribd.com/document/500156210/Foreign-Contribution-List-MHA,"Annexure-II: Country of Donors Foreign Contribution (in Rupees), Year: 2016-17",2026-09-23,"Excludes donor details < Rs 20,000 per Form FC-4. Scribd copy of the official annexure. Annexure-I: state-wise FC received in Rupees. Annexure-II: donor-country-wise FC in Rupees (excludes donor details < Rs 20,000 per FC-4). 2019-20 tables are PARTIAL: ARs filed as on 16.03.2021; filing deadline extended to 30.06.2021."
South Africa,2016-17,229233378.06,"22,92,33,378.06",rupee,"Rajya Sabha Starred Question No. 304, 'Foreign Funds Received by NGOs', answered 24.03.2021 (MoS Home, Shri Nityanand Rai)",https://www.scribd.com/document/500156210/Foreign-Contribution-List-MHA,"Annexure-II: Country of Donors Foreign Contribution (in Rupees), Year: 2016-17",2026-09-23,"Excludes donor details < Rs 20,000 per Form FC-4. Scribd copy of the official annexure. Annexure-I: state-wise FC received in Rupees. Annexure-II: donor-country-wise FC in Rupees (excludes donor details < Rs 20,000 per FC-4). 2019-20 tables are PARTIAL: ARs filed as on 16.03.2021; filing deadline extended to 30.06.2021."
Luxembourg,2016-17,193770196.48,"19,37,70,196.48",rupee,"Rajya Sabha Starred Question No. 304, 'Foreign Funds Received by NGOs', answered 24.03.2021 (MoS Home, Shri Nityanand Rai)",https://www.scribd.com/document/500156210/Foreign-Contribution-List-MHA,"Annexure-II: Country of Donors Foreign Contribution (in Rupees), Year: 2016-17",2026-09-23,"Excludes donor details < Rs 20,000 per Form FC-4. Scribd copy of the official annexure. Annexure-I: state-wise FC received in Rupees. Annexure-II: donor-country-wise FC in Rupees (excludes donor details < Rs 20,000 per FC-4). 2019-20 tables are PARTIAL: ARs filed as on 16.03.2021; filing deadline extended to 30.06.2021."
Swaziland,2016-17,167765523.53,"16,77,65,523.53",rupee,"Rajya Sabha Starred Question No. 304, 'Foreign Funds Received by NGOs', answered 24.03.2021 (MoS Home, Shri Nityanand Rai)",https://www.scribd.com/document/500156210/Foreign-Contribution-List-MHA,"Annexure-II: Country of Donors Foreign Contribution (in Rupees), Year: 2016-17",2026-09-23,"Excludes donor details < Rs 20,000 per Form FC-4. Scribd copy of the official annexure. Annexure-I: state-wise FC received in Rupees. Annexure-II: donor-country-wise FC in Rupees (excludes donor details < Rs 20,000 per FC-4). 2019-20 tables are PARTIAL: ARs filed as on 16.03.2021; filing deadline extended to 30.06.2021."
Malaysia,2016-17,139023383.40,"13,90,23,383.40",rupee,"Rajya Sabha Starred Question No. 304, 'Foreign Funds Received by NGOs', answered 24.03.2021 (MoS Home, Shri Nityanand Rai)",https://www.scribd.com/document/500156210/Foreign-Contribution-List-MHA,"Annexure-II: Country of Donors Foreign Contribution (in Rupees), Year: 2016-17",2026-09-23,"Excludes donor details < Rs 20,000 per Form FC-4. Scribd copy of the official annexure. Annexure-I: state-wise FC received in Rupees. Annexure-II: donor-country-wise FC in Rupees (excludes donor details < Rs 20,000 per FC-4). 2019-20 tables are PARTIAL: ARs filed as on 16.03.2021; filing deadline extended to 30.06.2021."
Czech Republic,2016-17,118980182.85,"11,89,80,182.85",rupee,"Rajya Sabha Starred Question No. 304, 'Foreign Funds Received by NGOs', answered 24.03.2021 (MoS Home, Shri Nityanand Rai)",https://www.scribd.com/document/500156210/Foreign-Contribution-List-MHA,"Annexure-II: Country of Donors Foreign Contribution (in Rupees), Year: 2016-17",2026-09-23,"Excludes donor details < Rs 20,000 per Form FC-4. Scribd copy of the official annexure. Annexure-I: state-wise FC received in Rupees. Annexure-II: donor-country-wise FC in Rupees (excludes donor details < Rs 20,000 per FC-4). 2019-20 tables are PARTIAL: ARs filed as on 16.03.2021; filing deadline extended to 30.06.2021."
Thailand,2016-17,110071545.90,"11,00,71,545.90",rupee,"Rajya Sabha Starred Question No. 304, 'Foreign Funds Received by NGOs', answered 24.03.2021 (MoS Home, Shri Nityanand Rai)",https://www.scribd.com/document/500156210/Foreign-Contribution-List-MHA,"Annexure-II: Country of Donors Foreign Contribution (in Rupees), Year: 2016-17",2026-09-23,"Excludes donor details < Rs 20,000 per Form FC-4. Scribd copy of the official annexure. Annexure-I: state-wise FC received in Rupees. Annexure-II: donor-country-wise FC in Rupees (excludes donor details < Rs 20,000 per FC-4). 2019-20 tables are PARTIAL: ARs filed as on 16.03.2021; filing deadline extended to 30.06.2021."
Indonesia,2016-17,103048287.85,"10,30,48,287.85",rupee,"Rajya Sabha Starred Question No. 304, 'Foreign Funds Received by NGOs', answered 24.03.2021 (MoS Home, Shri Nityanand Rai)",https://www.scribd.com/document/500156210/Foreign-Contribution-List-MHA,"Annexure-II: Country of Donors Foreign Contribution (in Rupees), Year: 2016-17",2026-09-23,"Excludes donor details < Rs 20,000 per Form FC-4. Scribd copy of the official annexure. Annexure-I: state-wise FC received in Rupees. Annexure-II: donor-country-wise FC in Rupees (excludes donor details < Rs 20,000 per FC-4). 2019-20 tables are PARTIAL: ARs filed as on 16.03.2021; filing deadline extended to 30.06.2021."
Nepal,2016-17,97198957.34,"9,71,98,957.34",rupee,"Rajya Sabha Starred Question No. 304, 'Foreign Funds Received by NGOs', answered 24.03.2021 (MoS Home, Shri Nityanand Rai)",https://www.scribd.com/document/500156210/Foreign-Contribution-List-MHA,"Annexure-II: Country of Donors Foreign Contribution (in Rupees), Year: 2016-17",2026-09-23,"Excludes donor details < Rs 20,000 per Form FC-4. Scribd copy of the official annexure. Annexure-I: state-wise FC received in Rupees. Annexure-II: donor-country-wise FC in Rupees (excludes donor details < Rs 20,000 per FC-4). 2019-20 tables are PARTIAL: ARs filed as on 16.03.2021; filing deadline extended to 30.06.2021."
Saudi Arabia,2016-17,95791069.10,"9,57,91,069.10",rupee,"Rajya Sabha Starred Question No. 304, 'Foreign Funds Received by NGOs', answered 24.03.2021 (MoS Home, Shri Nityanand Rai)",https://www.scribd.com/document/500156210/Foreign-Contribution-List-MHA,"Annexure-II: Country of Donors Foreign Contribution (in Rupees), Year: 2016-17",2026-09-23,"Excludes donor details < Rs 20,000 per Form FC-4. Scribd copy of the official annexure. Annexure-I: state-wise FC received in Rupees. Annexure-II: donor-country-wise FC in Rupees (excludes donor details < Rs 20,000 per FC-4). 2019-20 tables are PARTIAL: ARs filed as on 16.03.2021; filing deadline extended to 30.06.2021."
Panama,2016-17,76571449.63,"7,65,71,449.63",rupee,"Rajya Sabha Starred Question No. 304, 'Foreign Funds Received by NGOs', answered 24.03.2021 (MoS Home, Shri Nityanand Rai)",https://www.scribd.com/document/500156210/Foreign-Contribution-List-MHA,"Annexure-II: Country of Donors Foreign Contribution (in Rupees), Year: 2016-17",2026-09-23,"Excludes donor details < Rs 20,000 per Form FC-4. Scribd copy of the official annexure. Annexure-I: state-wise FC received in Rupees. Annexure-II: donor-country-wise FC in Rupees (excludes donor details < Rs 20,000 per FC-4). 2019-20 tables are PARTIAL: ARs filed as on 16.03.2021; filing deadline extended to 30.06.2021."
Morocco,2016-17,70680991.12,"7,06,80,991.12",rupee,"Rajya Sabha Starred Question No. 304, 'Foreign Funds Received by NGOs', answered 24.03.2021 (MoS Home, Shri Nityanand Rai)",https://www.scribd.com/document/500156210/Foreign-Contribution-List-MHA,"Annexure-II: Country of Donors Foreign Contribution (in Rupees), Year: 2016-17",2026-09-23,"Excludes donor details < Rs 20,000 per Form FC-4. Scribd copy of the official annexure. Annexure-I: state-wise FC received in Rupees. Annexure-II: donor-country-wise FC in Rupees (excludes donor details < Rs 20,000 per FC-4). 2019-20 tables are PARTIAL: ARs filed as on 16.03.2021; filing deadline extended to 30.06.2021."
Monaco,2016-17,68519867.69,"6,85,19,867.69",rupee,"Rajya Sabha Starred Question No. 304, 'Foreign Funds Received by NGOs', answered 24.03.2021 (MoS Home, Shri Nityanand Rai)",https://www.scribd.com/document/500156210/Foreign-Contribution-List-MHA,"Annexure-II: Country of Donors Foreign Contribution (in Rupees), Year: 2016-17",2026-09-23,"Excludes donor details < Rs 20,000 per Form FC-4. Scribd copy of the official annexure. Annexure-I: state-wise FC received in Rupees. Annexure-II: donor-country-wise FC in Rupees (excludes donor details < Rs 20,000 per FC-4). 2019-20 tables are PARTIAL: ARs filed as on 16.03.2021; filing deadline extended to 30.06.2021."
Mauritius,2016-17,66447624.20,"6,64,47,624.20",rupee,"Rajya Sabha Starred Question No. 304, 'Foreign Funds Received by NGOs', answered 24.03.2021 (MoS Home, Shri Nityanand Rai)",https://www.scribd.com/document/500156210/Foreign-Contribution-List-MHA,"Annexure-II: Country of Donors Foreign Contribution (in Rupees), Year: 2016-17",2026-09-23,"Excludes donor details < Rs 20,000 per Form FC-4. Scribd copy of the official annexure. Annexure-I: state-wise FC received in Rupees. Annexure-II: donor-country-wise FC in Rupees (excludes donor details < Rs 20,000 per FC-4). 2019-20 tables are PARTIAL: ARs filed as on 16.03.2021; filing deadline extended to 30.06.2021."
