state,financial_year,metric,total_fc_inr,total_fc_original,original_unit,reporting_associations,source_document,source_url,table_ref,retrieved_date,notes
Jharkhand,2009-10,received,1596502000.00,15965.02,lakh,469,"Lok Sabha Unstarred Question No. 328, 'Funds to NGOs', answered 06.08.2013 (Ministry of Home Affairs, Shri Mullappally Ramachandran)",https://xn--i1b5bzbybhfo5c8b4bxh.xn--11b7cb3a6a.xn--h2brj9c/MHA1/Par2017/pdfs/par2013-pdfs/ls-060813/328.pdf,Annexure-I: Statewise FC received during 2009-10,2026-09-23,"State-wise FC received, Rs in Lakhs. 2011-12 flagged in the document itself as 'some more data is still under compilation'. Source-arithmetic note: the document's stated totals differ from the sum of its state rows by 0.01 lakh (Rs 1,000) in 2009-10 and 2010-11 -- a rounding artifact in the source. In 2011-12 the stated total exceeds the sum of included state rows by Rs 489.15 lakh, which per the document's own arithmetic is the excluded Andaman & Nicobar row."
Himachal Pradesh,2009-10,received,1450704000.00,14507.04,lakh,114,"Lok Sabha Unstarred Question No. 328, 'Funds to NGOs', answered 06.08.2013 (Ministry of Home Affairs, Shri Mullappally Ramachandran)",https://xn--i1b5bzbybhfo5c8b4bxh.xn--11b7cb3a6a.xn--h2brj9c/MHA1/Par2017/pdfs/par2013-pdfs/ls-060813/328.pdf,Annexure-I: Statewise FC received during 2009-10,2026-09-23,"State-wise FC received, Rs in Lakhs. 2011-12 flagged in the document itself as 'some more data is still under compilation'. Source-arithmetic note: the document's stated totals differ from the sum of its state rows by 0.01 lakh (Rs 1,000) in 2009-10 and 2010-11 -- a rounding artifact in the source. In 2011-12 the stated total exceeds the sum of included state rows by Rs 489.15 lakh, which per the document's own arithmetic is the excluded Andaman & Nicobar row."
Madhya Pradesh,2009-10,received,1428586000.00,14285.86,lakh,448,"Lok Sabha Unstarred Question No. 328, 'Funds to NGOs', answered 06.08.2013 (Ministry of Home Affairs, Shri Mullappally Ramachandran)",https://xn--i1b5bzbybhfo5c8b4bxh.xn--11b7cb3a6a.xn--h2brj9c/MHA1/Par2017/pdfs/par2013-pdfs/ls-060813/328.pdf,Annexure-I: Statewise FC received during 2009-10,2026-09-23,"State-wise FC received, Rs in Lakhs. 2011-12 flagged in the document itself as 'some more data is still under compilation'. Source-arithmetic note: the document's stated totals differ from the sum of its state rows by 0.01 lakh (Rs 1,000) in 2009-10 and 2010-11 -- a rounding artifact in the source. In 2011-12 the stated total exceeds the sum of included state rows by Rs 489.15 lakh, which per the document's own arithmetic is the excluded Andaman & Nicobar row."
Bihar,2009-10,received,1417199000.00,14171.99,lakh,848,"Lok Sabha Unstarred Question No. 328, 'Funds to NGOs', answered 06.08.2013 (Ministry of Home Affairs, Shri Mullappally Ramachandran)",https://xn--i1b5bzbybhfo5c8b4bxh.xn--11b7cb3a6a.xn--h2brj9c/MHA1/Par2017/pdfs/par2013-pdfs/ls-060813/328.pdf,Annexure-I: Statewise FC received during 2009-10,2026-09-23,"State-wise FC received, Rs in Lakhs. 2011-12 flagged in the document itself as 'some more data is still under compilation'. Source-arithmetic note: the document's stated totals differ from the sum of its state rows by 0.01 lakh (Rs 1,000) in 2009-10 and 2010-11 -- a rounding artifact in the source. In 2011-12 the stated total exceeds the sum of included state rows by Rs 489.15 lakh, which per the document's own arithmetic is the excluded Andaman & Nicobar row."
Rajasthan,2009-10,received,1278562000.00,12785.62,lakh,405,"Lok Sabha Unstarred Question No. 328, 'Funds to NGOs', answered 06.08.2013 (Ministry of Home Affairs, Shri Mullappally Ramachandran)",https://xn--i1b5bzbybhfo5c8b4bxh.xn--11b7cb3a6a.xn--h2brj9c/MHA1/Par2017/pdfs/par2013-pdfs/ls-060813/328.pdf,Annexure-I: Statewise FC received during 2009-10,2026-09-23,"State-wise FC received, Rs in Lakhs. 2011-12 flagged in the document itself as 'some more data is still under compilation'. Source-arithmetic note: the document's stated totals differ from the sum of its state rows by 0.01 lakh (Rs 1,000) in 2009-10 and 2010-11 -- a rounding artifact in the source. In 2011-12 the stated total exceeds the sum of included state rows by Rs 489.15 lakh, which per the document's own arithmetic is the excluded Andaman & Nicobar row."
Uttarakhand,2009-10,received,1073883000.00,10738.83,lakh,285,"Lok Sabha Unstarred Question No. 328, 'Funds to NGOs', answered 06.08.2013 (Ministry of Home Affairs, Shri Mullappally Ramachandran)",https://xn--i1b5bzbybhfo5c8b4bxh.xn--11b7cb3a6a.xn--h2brj9c/MHA1/Par2017/pdfs/par2013-pdfs/ls-060813/328.pdf,Annexure-I: Statewise FC received during 2009-10,2026-09-23,"State-wise FC received, Rs in Lakhs. 2011-12 flagged in the document itself as 'some more data is still under compilation'. Source-arithmetic note: the document's stated totals differ from the sum of its state rows by 0.01 lakh (Rs 1,000) in 2009-10 and 2010-11 -- a rounding artifact in the source. In 2011-12 the stated total exceeds the sum of included state rows by Rs 489.15 lakh, which per the document's own arithmetic is the excluded Andaman & Nicobar row."
Assam,2009-10,received,932111000.00,9321.11,lakh,256,"Lok Sabha Unstarred Question No. 328, 'Funds to NGOs', answered 06.08.2013 (Ministry of Home Affairs, Shri Mullappally Ramachandran)",https://xn--i1b5bzbybhfo5c8b4bxh.xn--11b7cb3a6a.xn--h2brj9c/MHA1/Par2017/pdfs/par2013-pdfs/ls-060813/328.pdf,Annexure-I: Statewise FC received during 2009-10,2026-09-23,"State-wise FC received, Rs in Lakhs. 2011-12 flagged in the document itself as 'some more data is still under compilation'. Source-arithmetic note: the document's stated totals differ from the sum of its state rows by 0.01 lakh (Rs 1,000) in 2009-10 and 2010-11 -- a rounding artifact in the source. In 2011-12 the stated total exceeds the sum of included state rows by Rs 489.15 lakh, which per the document's own arithmetic is the excluded Andaman & Nicobar row."
Punjab,2009-10,received,873786000.00,8737.86,lakh,115,"Lok Sabha Unstarred Question No. 328, 'Funds to NGOs', answered 06.08.2013 (Ministry of Home Affairs, Shri Mullappally Ramachandran)",https://xn--i1b5bzbybhfo5c8b4bxh.xn--11b7cb3a6a.xn--h2brj9c/MHA1/Par2017/pdfs/par2013-pdfs/ls-060813/328.pdf,Annexure-I: Statewise FC received during 2009-10,2026-09-23,"State-wise FC received, Rs in Lakhs. 2011-12 flagged in the document itself as 'some more data is still under compilation'. Source-arithmetic note: the document's stated totals differ from the sum of its state rows by 0.01 lakh (Rs 1,000) in 2009-10 and 2010-11 -- a rounding artifact in the source. In 2011-12 the stated total exceeds the sum of included state rows by Rs 489.15 lakh, which per the document's own arithmetic is the excluded Andaman & Nicobar row."
Meghalaya,2009-10,received,654631000.00,6546.31,lakh,131,"Lok Sabha Unstarred Question No. 328, 'Funds to NGOs', answered 06.08.2013 (Ministry of Home Affairs, Shri Mullappally Ramachandran)",https://xn--i1b5bzbybhfo5c8b4bxh.xn--11b7cb3a6a.xn--h2brj9c/MHA1/Par2017/pdfs/par2013-pdfs/ls-060813/328.pdf,Annexure-I: Statewise FC received during 2009-10,2026-09-23,"State-wise FC received, Rs in Lakhs. 2011-12 flagged in the document itself as 'some more data is still under compilation'. Source-arithmetic note: the document's stated totals differ from the sum of its state rows by 0.01 lakh (Rs 1,000) in 2009-10 and 2010-11 -- a rounding artifact in the source. In 2011-12 the stated total exceeds the sum of included state rows by Rs 489.15 lakh, which per the document's own arithmetic is the excluded Andaman & Nicobar row."
Chhattisgarh,2009-10,received,649864000.00,6498.64,lakh,232,"Lok Sabha Unstarred Question No. 328, 'Funds to NGOs', answered 06.08.2013 (Ministry of Home Affairs, Shri Mullappally Ramachandran)",https://xn--i1b5bzbybhfo5c8b4bxh.xn--11b7cb3a6a.xn--h2brj9c/MHA1/Par2017/pdfs/par2013-pdfs/ls-060813/328.pdf,Annexure-I: Statewise FC received during 2009-10,2026-09-23,"State-wise FC received, Rs in Lakhs. 2011-12 flagged in the document itself as 'some more data is still under compilation'. Source-arithmetic note: the document's stated totals differ from the sum of its state rows by 0.01 lakh (Rs 1,000) in 2009-10 and 2010-11 -- a rounding artifact in the source. In 2011-12 the stated total exceeds the sum of included state rows by Rs 489.15 lakh, which per the document's own arithmetic is the excluded Andaman & Nicobar row."
Manipur,2009-10,received,368138000.00,3681.38,lakh,296,"Lok Sabha Unstarred Question No. 328, 'Funds to NGOs', answered 06.08.2013 (Ministry of Home Affairs, Shri Mullappally Ramachandran)",https://xn--i1b5bzbybhfo5c8b4bxh.xn--11b7cb3a6a.xn--h2brj9c/MHA1/Par2017/pdfs/par2013-pdfs/ls-060813/328.pdf,Annexure-I: Statewise FC received during 2009-10,2026-09-23,"State-wise FC received, Rs in Lakhs. 2011-12 flagged in the document itself as 'some more data is still under compilation'. Source-arithmetic note: the document's stated totals differ from the sum of its state rows by 0.01 lakh (Rs 1,000) in 2009-10 and 2010-11 -- a rounding artifact in the source. In 2011-12 the stated total exceeds the sum of included state rows by Rs 489.15 lakh, which per the document's own arithmetic is the excluded Andaman & Nicobar row."
Pondicherry,2009-10,received,329996000.00,3299.96,lakh,85,"Lok Sabha Unstarred Question No. 328, 'Funds to NGOs', answered 06.08.2013 (Ministry of Home Affairs, Shri Mullappally Ramachandran)",https://xn--i1b5bzbybhfo5c8b4bxh.xn--11b7cb3a6a.xn--h2brj9c/MHA1/Par2017/pdfs/par2013-pdfs/ls-060813/328.pdf,Annexure-I: Statewise FC received during 2009-10,2026-09-23,"State-wise FC received, Rs in Lakhs. 2011-12 flagged in the document itself as 'some more data is still under compilation'. Source-arithmetic note: the document's stated totals differ from the sum of its state rows by 0.01 lakh (Rs 1,000) in 2009-10 and 2010-11 -- a rounding artifact in the source. In 2011-12 the stated total exceeds the sum of included state rows by Rs 489.15 lakh, which per the document's own arithmetic is the excluded Andaman & Nicobar row."
Nagaland,2009-10,received,290315000.00,2903.15,lakh,83,"Lok Sabha Unstarred Question No. 328, 'Funds to NGOs', answered 06.08.2013 (Ministry of Home Affairs, Shri Mullappally Ramachandran)",https://xn--i1b5bzbybhfo5c8b4bxh.xn--11b7cb3a6a.xn--h2brj9c/MHA1/Par2017/pdfs/par2013-pdfs/ls-060813/328.pdf,Annexure-I: Statewise FC received during 2009-10,2026-09-23,"State-wise FC received, Rs in Lakhs. 2011-12 flagged in the document itself as 'some more data is still under compilation'. Source-arithmetic note: the document's stated totals differ from the sum of its state rows by 0.01 lakh (Rs 1,000) in 2009-10 and 2010-11 -- a rounding artifact in the source. In 2011-12 the stated total exceeds the sum of included state rows by Rs 489.15 lakh, which per the document's own arithmetic is the excluded Andaman & Nicobar row."
Haryana,2009-10,received,280758000.00,2807.58,lakh,117,"Lok Sabha Unstarred Question No. 328, 'Funds to NGOs', answered 06.08.2013 (Ministry of Home Affairs, Shri Mullappally Ramachandran)",https://xn--i1b5bzbybhfo5c8b4bxh.xn--11b7cb3a6a.xn--h2brj9c/MHA1/Par2017/pdfs/par2013-pdfs/ls-060813/328.pdf,Annexure-I: Statewise FC received during 2009-10,2026-09-23,"State-wise FC received, Rs in Lakhs. 2011-12 flagged in the document itself as 'some more data is still under compilation'. Source-arithmetic note: the document's stated totals differ from the sum of its state rows by 0.01 lakh (Rs 1,000) in 2009-10 and 2010-11 -- a rounding artifact in the source. In 2011-12 the stated total exceeds the sum of included state rows by Rs 489.15 lakh, which per the document's own arithmetic is the excluded Andaman & Nicobar row."
Jammu & Kashmir,2009-10,received,261788000.00,2617.88,lakh,81,"Lok Sabha Unstarred Question No. 328, 'Funds to NGOs', answered 06.08.2013 (Ministry of Home Affairs, Shri Mullappally Ramachandran)",https://xn--i1b5bzbybhfo5c8b4bxh.xn--11b7cb3a6a.xn--h2brj9c/MHA1/Par2017/pdfs/par2013-pdfs/ls-060813/328.pdf,Annexure-I: Statewise FC received during 2009-10,2026-09-23,"State-wise FC received, Rs in Lakhs. 2011-12 flagged in the document itself as 'some more data is still under compilation'. Source-arithmetic note: the document's stated totals differ from the sum of its state rows by 0.01 lakh (Rs 1,000) in 2009-10 and 2010-11 -- a rounding artifact in the source. In 2011-12 the stated total exceeds the sum of included state rows by Rs 489.15 lakh, which per the document's own arithmetic is the excluded Andaman & Nicobar row."
Goa,2009-10,received,243945000.00,2439.45,lakh,108,"Lok Sabha Unstarred Question No. 328, 'Funds to NGOs', answered 06.08.2013 (Ministry of Home Affairs, Shri Mullappally Ramachandran)",https://xn--i1b5bzbybhfo5c8b4bxh.xn--11b7cb3a6a.xn--h2brj9c/MHA1/Par2017/pdfs/par2013-pdfs/ls-060813/328.pdf,Annexure-I: Statewise FC received during 2009-10,2026-09-23,"State-wise FC received, Rs in Lakhs. 2011-12 flagged in the document itself as 'some more data is still under compilation'. Source-arithmetic note: the document's stated totals differ from the sum of its state rows by 0.01 lakh (Rs 1,000) in 2009-10 and 2010-11 -- a rounding artifact in the source. In 2011-12 the stated total exceeds the sum of included state rows by Rs 489.15 lakh, which per the document's own arithmetic is the excluded Andaman & Nicobar row."
Andaman & Nicobar Islands,2009-10,received,107235000.00,1072.35,lakh,12,"Lok Sabha Unstarred Question No. 328, 'Funds to NGOs', answered 06.08.2013 (Ministry of Home Affairs, Shri Mullappally Ramachandran)",https://xn--i1b5bzbybhfo5c8b4bxh.xn--11b7cb3a6a.xn--h2brj9c/MHA1/Par2017/pdfs/par2013-pdfs/ls-060813/328.pdf,Annexure-I: Statewise FC received during 2009-10,2026-09-23,"State-wise FC received, Rs in Lakhs. 2011-12 flagged in the document itself as 'some more data is still under compilation'. Source-arithmetic note: the document's stated totals differ from the sum of its state rows by 0.01 lakh (Rs 1,000) in 2009-10 and 2010-11 -- a rounding artifact in the source. In 2011-12 the stated total exceeds the sum of included state rows by Rs 489.15 lakh, which per the document's own arithmetic is the excluded Andaman & Nicobar row."
Chandigarh,2009-10,received,91285000.00,912.85,lakh,42,"Lok Sabha Unstarred Question No. 328, 'Funds to NGOs', answered 06.08.2013 (Ministry of Home Affairs, Shri Mullappally Ramachandran)",https://xn--i1b5bzbybhfo5c8b4bxh.xn--11b7cb3a6a.xn--h2brj9c/MHA1/Par2017/pdfs/par2013-pdfs/ls-060813/328.pdf,Annexure-I: Statewise FC received during 2009-10,2026-09-23,"State-wise FC received, Rs in Lakhs. 2011-12 flagged in the document itself as 'some more data is still under compilation'. Source-arithmetic note: the document's stated totals differ from the sum of its state rows by 0.01 lakh (Rs 1,000) in 2009-10 and 2010-11 -- a rounding artifact in the source. In 2011-12 the stated total exceeds the sum of included state rows by Rs 489.15 lakh, which per the document's own arithmetic is the excluded Andaman & Nicobar row."
Arunachal Pradesh,2009-10,received,90414000.00,904.14,lakh,24,"Lok Sabha Unstarred Question No. 328, 'Funds to NGOs', answered 06.08.2013 (Ministry of Home Affairs, Shri Mullappally Ramachandran)",https://xn--i1b5bzbybhfo5c8b4bxh.xn--11b7cb3a6a.xn--h2brj9c/MHA1/Par2017/pdfs/par2013-pdfs/ls-060813/328.pdf,Annexure-I: Statewise FC received during 2009-10,2026-09-23,"State-wise FC received, Rs in Lakhs. 2011-12 flagged in the document itself as 'some more data is still under compilation'. Source-arithmetic note: the document's stated totals differ from the sum of its state rows by 0.01 lakh (Rs 1,000) in 2009-10 and 2010-11 -- a rounding artifact in the source. In 2011-12 the stated total exceeds the sum of included state rows by Rs 489.15 lakh, which per the document's own arithmetic is the excluded Andaman & Nicobar row."
Mizoram,2009-10,received,83843000.00,838.43,lakh,34,"Lok Sabha Unstarred Question No. 328, 'Funds to NGOs', answered 06.08.2013 (Ministry of Home Affairs, Shri Mullappally Ramachandran)",https://xn--i1b5bzbybhfo5c8b4bxh.xn--11b7cb3a6a.xn--h2brj9c/MHA1/Par2017/pdfs/par2013-pdfs/ls-060813/328.pdf,Annexure-I: Statewise FC received during 2009-10,2026-09-23,"State-wise FC received, Rs in Lakhs. 2011-12 flagged in the document itself as 'some more data is still under compilation'. Source-arithmetic note: the document's stated totals differ from the sum of its state rows by 0.01 lakh (Rs 1,000) in 2009-10 and 2010-11 -- a rounding artifact in the source. In 2011-12 the stated total exceeds the sum of included state rows by Rs 489.15 lakh, which per the document's own arithmetic is the excluded Andaman & Nicobar row."
Tripura,2009-10,received,72421000.00,724.21,lakh,33,"Lok Sabha Unstarred Question No. 328, 'Funds to NGOs', answered 06.08.2013 (Ministry of Home Affairs, Shri Mullappally Ramachandran)",https://xn--i1b5bzbybhfo5c8b4bxh.xn--11b7cb3a6a.xn--h2brj9c/MHA1/Par2017/pdfs/par2013-pdfs/ls-060813/328.pdf,Annexure-I: Statewise FC received during 2009-10,2026-09-23,"State-wise FC received, Rs in Lakhs. 2011-12 flagged in the document itself as 'some more data is still under compilation'. Source-arithmetic note: the document's stated totals differ from the sum of its state rows by 0.01 lakh (Rs 1,000) in 2009-10 and 2010-11 -- a rounding artifact in the source. In 2011-12 the stated total exceeds the sum of included state rows by Rs 489.15 lakh, which per the document's own arithmetic is the excluded Andaman & Nicobar row."
Sikkim,2009-10,received,31123000.00,311.23,lakh,8,"Lok Sabha Unstarred Question No. 328, 'Funds to NGOs', answered 06.08.2013 (Ministry of Home Affairs, Shri Mullappally Ramachandran)",https://xn--i1b5bzbybhfo5c8b4bxh.xn--11b7cb3a6a.xn--h2brj9c/MHA1/Par2017/pdfs/par2013-pdfs/ls-060813/328.pdf,Annexure-I: Statewise FC received during 2009-10,2026-09-23,"State-wise FC received, Rs in Lakhs. 2011-12 flagged in the document itself as 'some more data is still under compilation'. Source-arithmetic note: the document's stated totals differ from the sum of its state rows by 0.01 lakh (Rs 1,000) in 2009-10 and 2010-11 -- a rounding artifact in the source. In 2011-12 the stated total exceeds the sum of included state rows by Rs 489.15 lakh, which per the document's own arithmetic is the excluded Andaman & Nicobar row."
Dadra & Nagar Haveli,2009-10,received,10926000.00,109.26,lakh,14,"Lok Sabha Unstarred Question No. 328, 'Funds to NGOs', answered 06.08.2013 (Ministry of Home Affairs, Shri Mullappally Ramachandran)",https://xn--i1b5bzbybhfo5c8b4bxh.xn--11b7cb3a6a.xn--h2brj9c/MHA1/Par2017/pdfs/par2013-pdfs/ls-060813/328.pdf,Annexure-I: Statewise FC received during 2009-10,2026-09-23,"State-wise FC received, Rs in Lakhs. 2011-12 flagged in the document itself as 'some more data is still under compilation'. Source-arithmetic note: the document's stated totals differ from the sum of its state rows by 0.01 lakh (Rs 1,000) in 2009-10 and 2010-11 -- a rounding artifact in the source. In 2011-12 the stated total exceeds the sum of included state rows by Rs 489.15 lakh, which per the document's own arithmetic is the excluded Andaman & Nicobar row."
ALL-INDIA,2009-10,received,104352209000.00,1043522.09,lakh,22401,"Lok Sabha Unstarred Question No. 328, 'Funds to NGOs', answered 06.08.2013 (Ministry of Home Affairs, Shri Mullappally Ramachandran)",https://xn--i1b5bzbybhfo5c8b4bxh.xn--11b7cb3a6a.xn--h2brj9c/MHA1/Par2017/pdfs/par2013-pdfs/ls-060813/328.pdf,Answer table: Year / No. of NGOs / Total amount of foreign contribution received (Rs in Lakhs),2026-09-23,"State-wise FC received, Rs in Lakhs. 2011-12 flagged in the document itself as 'some more data is still under compilation'. Source-arithmetic note: the document's stated totals differ from the sum of its state rows by 0.01 lakh (Rs 1,000) in 2009-10 and 2010-11 -- a rounding artifact in the source. In 2011-12 the stated total exceeds the sum of included state rows by Rs 489.15 lakh, which per the document's own arithmetic is the excluded Andaman & Nicobar row."
